node_1,node_2
0,0
0,1025
0,770
0,875
0,517
0,588
0,519
0,906
0,652
0,525
0,1166
0,271
0,1559
0,792
0,281
0,794
0,1053
0,159
0,808
0,372
0,811
0,940
0,685
0,943
0,305
0,178
0,692
0,567
0,697
0,429
0,64
0,706
0,1091
0,1221
0,1094
0,328
0,713
0,204
0,1233
0,1491
0,86
0,1625
0,730
0,1295
0,229
0,1124
0,813
0,233
0,491
0,1517
0,110
0,1136
0,1010
0,244
0,118
0,617
0,1581
0,1278
0,1385
1,6
1,1288
1,1193
1,1227
1,691
1,436
1,1481
1,1496
2,449
2,2
2,227
2,76
2,451
2,789
2,859
2,1372
3,645
4,1537
4,1030
4,1031
4,8
4,521
4,1546
4,523
4,527
4,530
4,1044
4,1561
4,1051
4,31
4,1058
4,36
4,549
4,1575
4,1064
4,41
4,42
4,7
4,44
4,1069
4,562
4,51
4,564
4,1591
4,1083
4,1084
4,1035
4,1092
4,1605
4,586
4,589
4,78
4,82
4,1107
4,596
4,1109
4,1551
4,1466
4,607
4,611
4,1638
4,1130
4,108
4,109
4,1648
4,113
4,628
4,1146
4,1642
4,641
4,135
4,1160
4,649
4,1162
4,142
4,143
4,792
4,658
4,148
4,149
4,664
4,380
4,156
4,1182
4,27
4,625
4,1192
4,1308
4,18
4,172
4,1197
4,174
4,688
4,1202
4,694
4,1652
4,698
4,190
4,1215
4,711
4,202
4,716
4,1230
4,1231
4,723
4,724
4,725
4,214
4,1304
4,219
4,1244
4,122
4,737
4,226
4,1256
4,745
4,234
4,1259
4,748
4,1235
4,248
4,249
4,250
4,251
4,1276
4,253
4,766
4,1279
4,258
4,556
4,1290
4,267
4,268
4,269
4,1294
4,1297
4,1299
4,791
4,280
4,265
4,285
4,288
4,801
4,294
4,297
4,1324
4,760
4,1245
4,1328
4,1588
4,317
4,831
4,1344
4,1347
4,1348
4,325
4,1119
4,738
4,1359
4,848
4,849
4,1375
4,1370
4,351
4,355
4,871
4,360
4,874
4,876
4,366
4,883
4,884
4,885
4,1399
4,377
4,1403
4,892
4,1406
4,388
4,911
4,912
4,915
4,407
4,1554
4,1440
4,1441
4,1444
4,1446
4,425
4,947
4,1524
4,442
4,443
4,74
4,1471
4,960
4,1473
4,845
4,1488
4,465
4,1490
4,979
4,470
4,761
4,1502
4,479
4,1360
4,1507
4,1512
4,1618
4,1518
4,1009
4,500
4,502
4,1449
4,1018
4,975
5,1316
5,837
5,6
5,1193
5,302
5,1424
5,1266
5,691
5,436
5,1102
5,919
5,1337
5,1500
5,1189
6,1539
6,1540
6,1542
6,9
6,675
6,1036
6,13
